nickname,title,description,url
culing2941,ai人工智能_人工智能（AI）简介,Here you will get an introduction to ... 在这里，您将获得有关人工智能的介绍。  First of all let us quickly recall what we have learnt in previous blog posts to get an idea of what we already have ...,"https://blog.csdn.net/culing2941/article/details/108617750?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-13-108617750-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
ejinxian,人工智能平台 H2O.ai,H2O.ai 是一家开发了开源框架和独特应用程序的初创公司，使各类公司都能够轻松建立和运营基于人工智能的服务。澳大利亚联邦银行就是H2O.ai 的客户，该公司的其他客户还包括有英伟达和 AT&amp;T 等。PitchBook数据...,"https://blog.csdn.net/ejinxian/article/details/121222962?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-14-121222962-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
阳阳2013哈哈,AI人工智能仿写在线v.1.2.3,"让毛孩子都爱上的机器人--Trifo Ollie智能AI扫拖机器人这竟然是来自Trifo Ollie智能AI扫拖机器人的高清摄像头。  AI人工智能仿写在线截图：      我问了一下之后才知道,这款扫拖机器人不仅能轻松清洁地面,还能控制...","https://blog.csdn.net/mynote/article/details/124052920?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-15-124052920-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
快乐小码农,AMiner发布2022 AI 2000人工智能最具影响力学者名单,文章目录AMiner发布2022年人工智能全球最具影响力学者榜单关于AI 20002022年AI 2000榜单分析1.榜首分析2.最具影响力Top10分析2.1 最具影响力机构Top102.2 最具影响力国家Top102.3 最具影响力论文Top103.AI 2000学者...,"https://blog.csdn.net/u012744245/article/details/123004726?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-16-123004726-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
安安静静的懒,人工智能（AI）入门,人工智能的入门学习需要具备的知识结构：  一、编程语言选择  推荐python，原因有二，其一，语法简单易学；其二，有丰富的库支持。  二、算法设计基础  人工智能的研究内容集中在六个方向，自然语言处理、知识表示、...,"https://blog.csdn.net/bjyisbla/article/details/106649751?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-17-106649751-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
「已注销」,什么是人工智能AI,什么是人工智能(AI)?  　人工智能(AI)指的是在被编程为像人类一样思考并模仿其行为的机器中对人类智能的模拟。该术语还可以应用于任何表现出与人类思维相关的特征(例如学习和解决问题)的机器。  　人工智能的理想...,"https://blog.csdn.net/yuuEva/article/details/110493123?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-18-110493123-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
咪爷,Ai人工智能和C语言差不多吗,自从去年，AlphaGo打遍天下棋手无对手，人工智能的风头就一直无人能及。在IT领袖峰会上，BAT三位大佬都看好人工智能的未来发展。今年年初，就做了一个大动作，在医疗方面押宝人工智能，所以在这次峰会上李彦宏也发...,"https://blog.csdn.net/weixin_28235513/article/details/117059595?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-19-117059595-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
格物斯坦机器人,人工智能AI在国内交通领域中的应用,人工智能(AI)是指机器执行人类能够轻松完成的感知、推理、学习和解决问题等认知功能的能力。过去20年以来，由于互联网产生的海量数据的可用性，人工智能在全球范围内获得了关注。最近，使用高级算法处理这些数据给...,"https://blog.csdn.net/gstemG_maker/article/details/123431812?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-20-123431812-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
喜欢打酱油的老鸟,如何成为一名AI人工智能算法工程师？,       经常有朋友私信问，如何学python呀，如何敲代码呀，如何进入AI行业呀？ ...正好回头看看自己这一年走过的路，进行一次经验总结。...人工智能/机器学习/深度学习  自学如何寻找学习资料  如何选择编...,"https://blog.csdn.net/weixin_42137700/article/details/93970151?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-21-93970151-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
一个处女座的程序猿,AI： 2021 年人工智能前沿科技报告02(更新中……),AI： 2021 年人工智能前沿科技报告02(更新中……)2021 年对于人工智能技术和产业，依旧是不平凡的一年。随着算力、数据、算法等要素逐渐齐备，先进的算法结构不断涌现，各个研究方向研究成果不断突破，成熟的 AI ...,"https://blog.csdn.net/qq_41185868/article/details/125476336?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-22-125476336-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
浅浅919,人工智能AI-模型训练思路,人工智能AI模型训练思路 模型训练思路  基于数据仓库分析模型。 开始模型训练。 训练结果分类：成功、失败、未知。 人为干预，对失败、未知两类结果进行纠错，将识别不准确的数据进行修正。 增强模型特征，增强模型...,"https://blog.csdn.net/u012107402/article/details/122379900?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-23-122379900-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
鼎捷智造,AI人工智能+大数据+ERP=？,进来找答案！,"https://blog.csdn.net/HLWYX18307615751/article/details/124190935?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-24-124190935-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
python学习站,最全的AI教程。自学人工智能攻略！,其中，人工智能的核心就是机器学习（Machine Learning），它是使计算机具有智能的根本途径，其应用遍及人工智能的各个领域。我们今天就来分享一篇来自 EliteDataScience 上专门讲给机器学习入门自学者的教程，一步步...,"https://blog.csdn.net/weixin_44558127/article/details/88806858?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-25-88806858-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
ErrorError！,开启AI世界的大门 —— 从人工智能到计算机视觉,开启AI世界的大门 —— 从人工智能到计算机视觉 目录开启AI世界的大门 —— 从人工智能到计算机视觉1. 关于人工智能1.1 初识人工智能1.2 人工智能的三大核心要素1.3 人工智能关系圈2. 计算机视觉（Computer Vision）...,"https://blog.csdn.net/qq_50587771/article/details/124109105?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-26-124109105-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
那美那美,人工智能AI编程基础(一),"人工智能编程目前主流有两大框架,TensorFlow和Pytorch,工业界主流是使用TensorFlow","https://blog.csdn.net/womengdoushizhongguo/article/details/123549571?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-27-123549571-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
37号仓,AI人工智能技术可以做什么,AI这个概念已经很火爆了，与之画上等号的是人工智能。人工智能：由人类研发，具备人类部分能力，且具备自我学习能力的智能物质。人类研究人工智能技术目的就是让机器人像人一样工作，那人AI人工智能技术可以做什么呢...,"https://blog.csdn.net/C37cang/article/details/99673334?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-28-99673334-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
SmartGridequation,经典古诗文与人工智能创作诗歌 之诗三百（AI）,"水陆草木之花,可爱者甚蕃...诗三百（AI）创作的古诗：  七绝·夏荷 【作者】AI 【朝代】当代 绿叶红花满地香，风吹水面荡清凉。 一池碧浪浮波影，万顷荷塘映月光。   网页推荐：（输入主题和关键词和类型即可，尝试一.","https://blog.csdn.net/SmartGridequation/article/details/122617139?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-29-122617139-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
Colesyn L.,copilot 让AI帮你编程（人工智能自动完成）,copilot 让AI帮你编程（人工智能自动完成） 官方地址 前不久，GitHub和OpenAI联合为程序员们送上了编程神器——GitHub Copilot。 但是，Copilot目前不提供公开使用，需要注册账号通过审核，我也提交了申请：  正如...,"https://blog.csdn.net/weixin_44255044/article/details/122440212?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-30-122440212-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
添香小铺,AI加速键：2021上海人工智能创新发展探索与实践案例集.pdf,AI加速键：2021上海人工智能创新发展探索与实践案例集.pdf,"https://download.csdn.net/download/weixin_42241611/22472670?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-1-22472670-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
passionSnail,清华大学高级人工智能人才培养课程 AI人工智能 智能系统 课程体系 第4章 执行系统 含习题 共31页.pptx,清华大学高级人工智能人才培养课程 AI人工智能 智能系统 课程体系 第1章 智能系统绪论 含习题 共28页.pptx 清华大学高级人工智能人才培养课程 AI人工智能 智能系统 课程体系 第2章 智能感知 含习题 共33页.pptx 清华...,"https://download.csdn.net/download/qq_27595745/23989386?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-2-23989386-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
文宇肃然,【AI人工智能】AI在医学领域的应用实战案例：MOE进行QSAR建模.zip,【AI人工智能】AI在医学领域的应用实战案例：MOE进行QSAR建模.zip,"https://download.csdn.net/download/wenyusuran/82048563?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-3-82048563-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
我的石头不硬,【薪酬报告】人工智能AI芯片行业2021年薪酬调查报告.docx,【薪酬报告】人工智能AI芯片行业2021年薪酬调查报告.docx,"https://download.csdn.net/download/qq_22643899/30070076?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-4-30070076-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
如此醉123,20210612-中金公司-人工智能行业：步入“AI+”时代，行业应用多点开花.pdf,20210612-中金公司-人工智能行业：步入“AI+”时代，行业应用多点开花.pdf,"https://download.csdn.net/download/qq_38412739/19600325?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-5-19600325-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
shengyin714959,人工智能工具包 OpenAI,人工智能工具包 OpenAI,"https://download.csdn.net/download/shengyin714959/85527179?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-6-85527179-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
如此醉123,20201222-华泰证券-华泰人工智能系列之四十：微软AI量化投资平台Qlib体验.pdf,20201222-华泰证券-华泰人工智能系列之四十：微软AI量化投资平台Qlib体验.pdf,"https://download.csdn.net/download/qq_38412739/16556772?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-7-16556772-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
智慧方案,AI+智慧小区大数据平台建设方案 人工智能+智慧小区大数据平台建设方案.pptx,AI+智慧小区大数据平台建设方案 人工智能+智慧小区大数据平台建设方案,"https://download.csdn.net/download/weixin_44094929/16675406?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-8-16675406-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
600Dreams,start-ai:从零开始学习人工智能（Start-AI）,:fire:从零开始学习人工智能（Start-AI）:fire:  “不积跬步，无以至千里” 作者：   Start-AI项目推进提供一个从零基础到进阶学习人工智能的特定资料库，包括人工智能理论和实践，深度学习框架（TensorFlow，Keras...,"https://download.csdn.net/download/weixin_42104366/15793523?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026516782390582200%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fall.%2522%257D&request_id=165774026516782390582200&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~first_rank_ecpm_v1~rank_v31_ecpm-9-15793523-null-null.142^v32^control,185^v2^tag_show&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
